image_path,class_name,labels,feature_vector,x,y
/kaggle/input/van-gogh-paintings/Arles/A Pair of Leather Clogs.jpg,Arles,1,"[-0.20305115  1.0470928   0.6337096  ... -0.16146839  0.535122
  0.03589353]",4.226828,-6.6129947
/kaggle/input/van-gogh-paintings/Arles/The Langlois Bridge at Arles with Road Alongside the Canal.jpg,Arles,1,"[ 0.6678805   0.45485523  1.308119   ... -0.14796418 -0.21475701
  0.2043615 ]",-6.090462,2.4739232
/kaggle/input/van-gogh-paintings/Arles/Self-Portrait with Bandaged Ear.jpg,Arles,1,"[-0.0314835  -0.08478185  0.13772646 ... -0.11583221 -0.0797706
  0.1487638 ]",12.2517805,0.92434293
/kaggle/input/van-gogh-paintings/Arles/Paul Gauguin Man in a Red Beret.jpg,Arles,1,"[ 0.06871238  0.21080032  0.30706125 ... -0.03689865  0.15766692
  0.3240602 ]",11.828333,10.053828
/kaggle/input/van-gogh-paintings/Arles/Portrait of Camille Roulin 2.jpg,Arles,1,"[ 0.2344717  -0.09260134  0.13940689 ... -0.20738813 -0.08208129
 -0.04645099]",13.178735,1.9852179
/kaggle/input/van-gogh-paintings/Arles/Fishing Boats on the Beach at Saintes-Maries.jpg,Arles,1,"[ 0.05542333 -0.01517006  0.11903349 ...  0.14028367 -0.01091334
  0.81227684]",-3.828156,1.083201
/kaggle/input/van-gogh-paintings/Arles/The Brothel.jpg,Arles,1,"[-0.12602913  0.06699826  0.71831423 ... -0.12782824  0.03554621
  0.04101994]",6.6644206,0.5359933
/kaggle/input/van-gogh-paintings/Arles/Flowering Garden with Path.jpg,Arles,1,"[-0.09007936  0.45043525  0.2228766  ...  0.01453955 -0.11164831
  0.4478224 ]",-3.702994,-3.1244204
/kaggle/input/van-gogh-paintings/Arles/Apricot Trees in Blossom 2.jpg,Arles,1,"[-0.1442672   0.1575054   0.15229645 ... -0.0067566   0.5981262
  0.23380905]",-11.703681,-3.263283
/kaggle/input/van-gogh-paintings/Arles/Crab on Its Back.jpg,Arles,1,"[-0.14484343  0.8246417   1.0149628  ... -0.03140813 -0.06077498
  0.5717618 ]",8.073968,4.5771294
/kaggle/input/van-gogh-paintings/Arles/La Berceuse Augustine Roulin 3.jpg,Arles,1,"[-0.11418919 -0.09911462  0.6878549  ... -0.12148339 -0.07705429
  0.24558367]",8.439203,0.22820292
/kaggle/input/van-gogh-paintings/Arles/Orchard with Blossoming Apricot Trees.jpg,Arles,1,"[-0.20043741 -0.18354954 -0.11319389 ...  0.04750779  0.52067995
  0.20536208]",-11.98715,-3.3576212
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Marguerite Gachet in the Garden.jpg,Auvers sur Oise,2,"[-0.19865856  0.09309348 -0.00870005 ... -0.02545569 -0.12589037
  0.8095194 ]",-1.7871562,-4.2257185
/kaggle/input/van-gogh-paintings/Auvers sur Oise/View of Auvers with Church.jpg,Auvers sur Oise,2,"[-0.0553035   0.240821    0.6214235  ... -0.12011712  0.12513769
  0.54409415]",-2.317896,-5.208047
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Landscape with the Chateau of Auvers at Sunset.jpg,Auvers sur Oise,2,"[-0.14775753  0.27751744  0.35511643 ... -0.0310147   0.24896842
  0.8509624 ]",-2.7818394,-3.5912504
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Blossoming Acacia Branches.jpg,Auvers sur Oise,2,"[-0.07940707  1.1159179   0.2689592  ... -0.07073247  0.10837691
 -0.13039383]",-4.0332327,-7.3742533
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Plain Near Auvers.jpg,Auvers sur Oise,2,"[-0.08320732  0.597533    0.6341419  ...  0.00302307 -0.01626511
  0.6226329 ]",-4.299238,-4.426341
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Young Girl Standing Against a Background of Wheat.jpg,Auvers sur Oise,2,"[-0.1614683  -0.10328098 -0.02770635 ...  0.06369134  0.12407212
  0.14103448]",10.252804,-3.6148868
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Portrait of Doctor Gachet 2.jpg,Auvers sur Oise,2,"[-0.14346845 -0.02602033  0.09737137 ... -0.0690313   0.05795234
  0.6850587 ]",7.467926,-2.6372297
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Portrait of Doctor Gachet L Homme a la Pipe.jpg,Auvers sur Oise,2,"[-0.13662608  0.6460237   0.7297191  ... -0.13311772 -0.00496813
  0.16037433]",6.069425,2.2127316
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Wheat Fields near Auvers.jpg,Auvers sur Oise,2,"[-0.02025481  0.56989276  0.6356336  ...  0.02545836 -0.0841699
  0.7480285 ]",-3.4828496,-5.399551
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Vineyards with a View of Auvers.jpg,Auvers sur Oise,2,"[-0.2112157   0.4287009   0.1582582  ...  0.00588547 -0.07917354
  0.5221332 ]",-3.4887114,-4.2292995
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Thatched Sandstone Cottages in Chaponval.jpg,Auvers sur Oise,2,"[-0.14854859  0.4747714   0.5153192  ... -0.0868683   0.09590507
  0.30684456]",-0.2879445,-4.143532
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Farmhouse with Two Figures.jpg,Auvers sur Oise,2,"[-0.10894635  0.26074553  0.45581344 ... -0.06404567  0.06419797
  0.70236635]",0.25349006,-5.660745
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Auvers Town Hall on 14 July 1890.jpg,Auvers sur Oise,2,"[-0.10881196 -0.04770287  0.47093105 ... -0.18555255  0.2741036
  1.0907958 ]",-0.5809438,-8.273795
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Doctor Gachet s Garden in Auvers.jpg,Auvers sur Oise,2,"[-0.0197798   0.24762693  0.21784125 ... -0.09093221 -0.02816552
  0.9447739 ]",-4.0180035,-6.212677
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Child with Orange.jpg,Auvers sur Oise,2,"[-0.00204705 -0.14462687  0.9120932  ... -0.09852058  0.85294265
  0.14578116]",7.565731,-3.2596257
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Thatched Cottages at Cordeville.jpg,Auvers sur Oise,2,"[-0.13721347  0.84946156  0.5611145  ... -0.08469234 -0.09327076
  0.5523919 ]",-1.23401,-4.697562
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Field with Stacks of Wheat.jpg,Auvers sur Oise,2,"[-0.17827457  0.33442152  1.089818   ... -0.12153308  0.22274141
  0.01209757]",1.8156197,-3.8182278
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Bank of the Oise at Auvers.jpg,Auvers sur Oise,2,"[-0.17946362 -0.04517652  0.32472014 ... -0.13404672 -0.00190665
  0.9067914 ]",-3.3349466,0.6775099
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Marguerite Gachet at the Piano.jpg,Auvers sur Oise,2,"[-0.21691057  0.28462124  0.61204004 ... -0.03583527 -0.02890807
  0.26381993]",5.7095075,-7.358134
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Wild Flowers and Thistles in a Vase.jpg,Auvers sur Oise,2,"[ 0.06467427  0.10979395  1.0167071  ... -0.12770726  0.2755844
  0.6454877 ]",2.7072594,-0.4539101
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Village Street in Auvers.jpg,Auvers sur Oise,2,"[-0.12162567  0.09770143  0.12319052 ... -0.08656222  0.33896196
  0.47782955]",-1.2483612,-6.903864
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Thatched Cottages by a Hill.jpg,Auvers sur Oise,2,"[-0.16617183  0.17225832  0.623315   ... -0.06160997 -0.0413587
  0.7101893 ]",-0.9617128,-5.1467237
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Portrait of Adeline Ravoux 3.jpg,Auvers sur Oise,2,"[ 0.09320182  0.25139305  0.86423606 ... -0.03298831  0.15565121
  0.5931158 ]",9.918007,10.919496
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Houses in Auvers.jpg,Auvers sur Oise,2,"[-0.10660393  0.284824    1.0199485  ... -0.06906364  0.22061974
  0.5462429 ]",-0.9883546,-5.9054585
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Still Life Glass with Carnations.jpg,Auvers sur Oise,2,"[-0.17657694  0.17886405  0.4268868  ... -0.18242225  0.1756901
  0.14361663]",0.59222835,0.36636117
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Landscape at Auvers in the Rain.jpg,Auvers sur Oise,2,"[-0.12722166  0.7431019   0.2801072  ... -0.08182232 -0.11676142
  0.13180935]",-6.964494,-6.976334
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Wheat Field with Cornflowers.jpg,Auvers sur Oise,2,"[-0.20473959  0.8657251   0.510246   ...  0.05021856  0.05525395
  0.07810307]",-5.4686594,-6.129534
/kaggle/input/van-gogh-paintings/Auvers sur Oise/Village Street and Steps in Auvers with Figures.jpg,Auvers sur Oise,2,"[ 0.01794581  0.31403947  0.4597066  ... -0.04189798  0.49583736
  0.10583922]",2.8945985,-1.8528115
"/kaggle/input/van-gogh-paintings/Drawings/Woman Sewing, with a Girl.jpg",Drawings,3,"[-0.03360439  0.1671507   0.9932263  ...  0.11839235  0.09810568
  0.24434206]",7.131235,7.477723
/kaggle/input/van-gogh-paintings/Drawings/Sheet with Hands and Several Figures.jpg,Drawings,3,"[-0.19563273  0.13890554  0.10637031 ... -0.08753987 -0.0971115
  0.05616699]",-1.7432582,13.523582
/kaggle/input/van-gogh-paintings/Drawings/Chair.jpg,Drawings,3,"[-0.15925975 -0.08093595 -0.12165027 ... -0.0809627   0.10137451
  0.10932605]",-2.054885,13.077585
/kaggle/input/van-gogh-paintings/Drawings/Weaver with Other Figures in Front of Loom.jpg,Drawings,3,"[-0.03596281  0.32539353  0.41694805 ... -0.06428172  0.24501705
  0.382874  ]",-11.062514,12.3401985
/kaggle/input/van-gogh-paintings/Drawings/Bakery.jpg,Drawings,3,"[ 0.11888441  0.04325067  0.53620887 ...  0.11794244  0.04969561
 -0.02262086]",-8.345358,15.285782
/kaggle/input/van-gogh-paintings/Drawings/Quay with Men Unloading Sand Barges.jpg,Drawings,3,"[-0.19157729  0.24884345  0.59372705 ... -0.13758673  0.23842241
  0.3804799 ]",3.9047973,-10.559823
/kaggle/input/van-gogh-paintings/Drawings/Public Garden with a Corner of the Yellow House.jpg,Drawings,3,"[-0.06479701  0.81344026  0.46382454 ... -0.07013193 -0.14582545
  0.134619  ]",-14.23341,2.3643587
/kaggle/input/van-gogh-paintings/Drawings/Sketches of Peasant Plowing with Horses.jpg,Drawings,3,"[-0.1231351  -0.16354862  0.18374926 ... -0.12644172  0.04646085
  0.5339955 ]",-1.7467211,14.089775
/kaggle/input/van-gogh-paintings/Drawings/The Road to Tarascon 2.jpg,Drawings,3,"[-0.09970628  0.47220817  0.12189709 ... -0.04435098  0.06246838
  0.42872578]",-4.141689,-2.4444983
/kaggle/input/van-gogh-paintings/Drawings/Digger.jpg,Drawings,3,[0.0560924  0.1451857  0.03306586 ... 0.0345769  0.14478377 0.26310682],-16.347296,11.323177
/kaggle/input/van-gogh-paintings/Drawings/Sower 5.jpg,Drawings,3,"[-0.09360607  0.8253788   0.09628548 ... -0.06161381  0.39052507
 -0.04976783]",-16.328474,12.459413
/kaggle/input/van-gogh-paintings/Drawings/Sketch of Cows and Children.jpg,Drawings,3,"[-0.16887188  0.29313025  0.22655539 ... -0.09508801 -0.06552274
  0.65075284]",-2.6697366,14.318437
/kaggle/input/van-gogh-paintings/Drawings/Plate with Cutlery and a Kettle.jpg,Drawings,3,"[-0.10941581  0.6981908   0.27277985 ... -0.13174447 -0.11166325
 -0.12490106]",2.4416435,4.3894978
/kaggle/input/van-gogh-paintings/Drawings/Peasant Lifting Potatoes.jpg,Drawings,3,[0.32378796 0.9632657  0.4017757  ... 0.03860562 0.32539877 0.09524106],-13.526344,10.565164
/kaggle/input/van-gogh-paintings/Drawings/Self-Portrait with Cap.jpg,Drawings,3,"[-0.07898778  0.6027808   0.809295   ... -0.12762007 -0.11594494
  0.06191638]",8.687808,13.838856
/kaggle/input/van-gogh-paintings/Drawings/Gypsies at Saintes-Maries.jpg,Drawings,3,"[-0.01772524  0.01758585  0.8704671  ... -0.18969288  0.7391633
  0.55976987]",-7.195641,8.663608
/kaggle/input/van-gogh-paintings/Drawings/Small House on a Road with Pollard Willows.jpg,Drawings,3,"[-0.05316879  0.786368    0.2509933  ... -0.0978724   0.29205766
  0.11457957]",-5.0552416,-15.1713505
"/kaggle/input/van-gogh-paintings/Drawings/Hand with a Stick, and Four People Sharing a Meal.jpg",Drawings,3,"[-0.21412651  0.15579197  0.475562   ... -0.16935511  0.01603492
  0.13099588]",2.0271783,13.774918
/kaggle/input/van-gogh-paintings/Drawings/Sien Nursing Baby.jpg,Drawings,3,"[-0.16038293  0.1700865   0.347232   ...  0.15239306  0.08105282
  0.09719634]",-13.064219,15.042679
/kaggle/input/van-gogh-paintings/Drawings/Factory.jpg,Drawings,3,"[-0.04777801  0.06107102  0.05296734 ... -0.06335415  0.2123745
  0.28947383]",-3.5651581,-14.4668865
/kaggle/input/van-gogh-paintings/Drawings/Head of a Girl.jpg,Drawings,3,"[-0.18563008 -0.04236029  0.6364211  ... -0.11183381  0.20889032
  0.00598449]",6.482638,2.759748
/kaggle/input/van-gogh-paintings/Drawings/Two Trees.jpg,Drawings,3,"[-0.13987112  0.5269508   0.46954864 ...  0.0206701   0.60712814
  0.15855359]",-15.054101,1.635888
/kaggle/input/van-gogh-paintings/Drawings/Woman Stooping in front of Trees.jpg,Drawings,3,"[-0.06428251  0.7200634   0.9446376  ... -0.10196681  0.48955837
  0.44992402]",-8.66672,9.12158
/kaggle/input/van-gogh-paintings/Drawings/Plaster Torso of a Woman.jpg,Drawings,3,[0.00372769 0.61822474 0.3338963  ... 0.1054156  0.09135149 0.40743232],4.955725,13.822554
/kaggle/input/van-gogh-paintings/Drawings/Prayer Before the Meal.jpg,Drawings,3,"[-0.12375145  0.48209137  0.21019335 ... -0.12303662 -0.02913903
 -0.04555963]",-13.953909,16.529734
/kaggle/input/van-gogh-paintings/Drawings/Saw Mill.jpg,Drawings,3,"[-0.03264235  0.05448688  1.0862702  ... -0.07272057  0.3710133
 -0.10489216]",-3.548274,-15.920572
/kaggle/input/van-gogh-paintings/Drawings/The Plain of La Crau.jpg,Drawings,3,"[-0.19733955  0.34897414  0.10026111 ... -0.08583608  0.4021606
 -0.03506953]",-13.17827,2.787735
"/kaggle/input/van-gogh-paintings/Drawings/Old Man with his Head in his Hands, Half-Figure.jpg",Drawings,3,"[ 0.07727114  1.4731674   0.7742447  ... -0.18374723  0.2428006
  0.35502258]",10.545164,7.221837
/kaggle/input/van-gogh-paintings/Face/Backyards of Old Houses in Antwerp in the Snow.jpg,Face,4,"[-0.02591427  0.29460388  0.42908034 ... -0.05761693 -0.1638447
 -0.04414212]",-1.2532789,-15.339285
"/kaggle/input/van-gogh-paintings/Face/Johanna Bonger, Vincent van Goghs sister-in-law.jpg",Face,4,"[ 0.09637544  0.3793653   0.22536495 ... -0.18705451 -0.16686869
 -0.08647135]",18.173388,3.7151608
"/kaggle/input/van-gogh-paintings/Face/Johanna van Gogh-Bonger, Vincent van Goghs sister-in-law.jpg",Face,4,"[ 0.10165551  0.9796481   0.03252692 ... -0.09735079  0.5560086
  0.25211856]",-11.616824,18.2432
/kaggle/input/van-gogh-paintings/Face/Portrait of a Woman with Red Ribbon.jpg,Face,4,"[ 0.46929848 -0.03782684  0.50385886 ... -0.1575273  -0.0536937
 -0.07112426]",13.956275,2.8969336
"/kaggle/input/van-gogh-paintings/Face/The Ravoux Inn Auvers-sur-Oise, France.jpg",Face,4,"[ 0.15563141  0.36212528 -0.16973178 ...  0.02781901 -0.06553332
 -0.08788553]",-8.996781,16.09558
/kaggle/input/van-gogh-paintings/Face/Anna Cornelia van Gogh.jpg,Face,4,"[ 0.17447825  0.5386305   0.39680284 ... -0.18992285  0.10353046
 -0.18008095]",20.096243,0.7640211
/kaggle/input/van-gogh-paintings/Face/Portrait of an Old Man with Beard.jpg,Face,4,"[ 0.17430595  0.9189902   1.085393   ... -0.16510211  0.00722878
  0.49938935]",12.076588,5.0456367
/kaggle/input/van-gogh-paintings/Face/Theodorus van Gogh.jpg,Face,4,"[ 0.0498326   0.01112348  0.21006288 ... -0.17416792 -0.24106781
  0.29032317]",19.695189,2.1436343
/kaggle/input/van-gogh-paintings/Face/This card was sent to the friends of Vincent.jpg,Face,4,"[-0.07830022 -0.1447189  -0.09623289 ...  0.37461188 -0.15443835
 -0.13491137]",-1.0031441,8.099205
/kaggle/input/van-gogh-paintings/Face/This was Vincents room in the asylum in Saint Remy.jpg,Face,4,"[-0.1563926   0.05885775  0.8023159  ...  0.3885463  -0.10268104
  0.10445707]",-0.35960373,-15.181796
/kaggle/input/van-gogh-paintings/Face/Anna Cornelia van Gogh 2.jpg,Face,4,"[-0.08829302 -0.08188105  0.5809039  ... -0.09465542 -0.09025703
 -0.03110527]",15.60443,2.8052964
/kaggle/input/van-gogh-paintings/Face/Head of an Old Woman with White Cap The Midwife.jpg,Face,4,"[ 0.12365302 -0.09359877  0.0007568  ... -0.15118681 -0.17552198
  0.04235936]",15.49391,-1.7641339
/kaggle/input/van-gogh-paintings/Face/The painter Emile Bernard and Vincent van Gogh seen from the back have a good time discussing color insinde a black-and-wite photo.jpg,Face,4,"[-0.11880823  0.46229362  0.10416669 ... -0.06810014 -0.00899644
  0.01827027]",-14.411434,7.0875926
/kaggle/input/van-gogh-paintings/Face/Vincent van Gogh on his deathbead. His friend and doctor Paul Gachet made this excellent drawing.jpg,Face,4,"[-0.12494834  0.6937244   0.75150865 ... -0.09806597  0.2308461
  0.12194248]",-3.133931,11.77333
"/kaggle/input/van-gogh-paintings/Face/Theo van Gogh, the brother of Vincent 3.jpg",Face,4,"[ 0.5314676   0.03680417  0.3657964  ... -0.18005458 -0.0876078
  0.02222931]",20.186924,0.907861
"/kaggle/input/van-gogh-paintings/Face/Toulouse-Lautrec, Portrait of Vincent van Gogh.jpg",Face,4,"[-0.12538747  0.2319888   0.6608735  ... -0.18200031  0.13222525
  0.0207313 ]",8.158908,11.0036335
"/kaggle/input/van-gogh-paintings/Face/Theo van Gogh, the brother of Vincent.jpg",Face,4,"[-0.14176834  1.255756   -0.17423359 ... -0.14959086 -0.00580918
 -0.03726313]",20.86323,4.17883
"/kaggle/input/van-gogh-paintings/Face/Vincent van Gogh, age 13.jpg",Face,4,"[ 0.30945307  0.15172024  0.3155008  ... -0.15097813 -0.18373176
  0.04062461]",19.46109,3.2388885
/kaggle/input/van-gogh-paintings/Face/Portrait of Woman in Blue.jpg,Face,4,"[ 0.0442672  -0.04942705  0.62157434 ... -0.17292032  0.10194755
  0.09760925]",14.199803,4.4240117
"/kaggle/input/van-gogh-paintings/Face/Toulouse-Lautrec, Portrait of Vincent van Gogh 2.jpg",Face,4,"[-0.17646706  0.05702166  0.32136837 ... -0.12813526  0.22689226
  0.0524483 ]",8.215187,11.201876
/kaggle/input/van-gogh-paintings/Face/Head of a Woman with her Hair Loose.jpg,Face,4,"[ 0.27286926 -0.01208551  0.7329095  ... -0.19252625 -0.10707071
  0.04370339]",13.779605,4.7265377
"/kaggle/input/van-gogh-paintings/Face/Theo van Gogh, the brother of Vincent 4.jpg",Face,4,"[-0.0391635   0.26228184  0.13577196 ... -0.03218033 -0.16651586
  0.0117881 ]",19.160305,3.8913615
/kaggle/input/van-gogh-paintings/Face/Anna Cornelia van Gogh 3.jpg,Face,4,"[-0.04000507  0.41207883  0.0461551  ... -0.17802235  0.07308753
 -0.10171007]",17.591402,4.8328066
/kaggle/input/van-gogh-paintings/Face/The mother of Vincent van Gogh was a very talented painter.jpg,Face,4,"[-0.14912313 -0.16411796  1.1698881  ... -0.11618106 -0.1304962
 -0.12310686]",0.48715633,-0.4682537
"/kaggle/input/van-gogh-paintings/Face/Vincents brother Theo died one year after him. They were buried side by side as equals. I do not know, why Theos wife Johanna, when her time came, was nor buried next to them.jpg",Face,4,"[-0.08204751  0.10010377  0.08174066 ... -0.11203562  0.09675937
  0.12785065]",-1.4411627,6.5375195
/kaggle/input/van-gogh-paintings/Face/Skull with Burning Cigarette.jpg,Face,4,[0.10990728 0.88817316 1.0316987  ... 0.01153129 0.04278681 0.04041456],10.695963,4.651004
"/kaggle/input/van-gogh-paintings/Face/Vincent van Gogh, age 19.jpg",Face,4,"[ 0.27120534 -0.08586344  0.5289809  ... -0.12800725 -0.21318513
 -0.02766141]",19.02701,3.1961772
"/kaggle/input/van-gogh-paintings/Face/Theo van Gogh, the brother of Vincent 2.jpg",Face,4,"[ 0.15073648 -0.11498957  0.2583489  ... -0.1103358  -0.18220851
 -0.05081781]",20.339207,2.4548957
/kaggle/input/van-gogh-paintings/Nuenen/Cottage with Peasant Coming Home.jpg,Nuenen,5,"[-0.1743789  -0.0607129  -0.12038582 ...  0.09037387  0.24644355
  0.07480428]",-1.9873357,-12.645838
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant Woman with White Cap 9.jpg,Nuenen,5,"[ 0.00281999 -0.03126961  0.6547693  ... -0.16422935 -0.05140609
  0.06424236]",14.051025,0.26882562
/kaggle/input/van-gogh-paintings/Nuenen/Head of an Old Peasant Woman with White Cap 2.jpg,Nuenen,5,"[ 0.01940361  0.00749979  0.86112726 ... -0.16362467 -0.0146413
 -0.11892912]",15.030022,-0.43396342
/kaggle/input/van-gogh-paintings/Nuenen/Beer Tankards.jpg,Nuenen,5,"[ 0.01097463  1.571376    0.71787465 ... -0.0274301  -0.10167978
 -0.1502649 ]",2.8523204,5.546326
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant with Cap 2.jpg,Nuenen,5,"[-0.00376913  0.2516947   0.16355397 ... -0.17328584 -0.10728607
 -0.17567018]",17.733988,1.9200561
/kaggle/input/van-gogh-paintings/Nuenen/Peasant Making a Basket 2.jpg,Nuenen,5,"[3.4706938e-01 1.0247806e+00 3.4829640e-01 ... 3.2089013e-01 4.3841999e-04
 1.8072961e-02]",-14.15256,13.833439
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant with a Pipe.jpg,Nuenen,5,"[ 0.26599094  0.33228606  0.3012526  ... -0.15193713  0.11533811
  0.15931128]",12.676554,2.8593736
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant with Cap.jpg,Nuenen,5,"[ 0.21586715  0.3640156   0.8961735  ... -0.17051123  0.02232882
  0.5184643 ]",11.471653,5.6057014
/kaggle/input/van-gogh-paintings/Nuenen/Lane in Autumn.jpg,Nuenen,5,"[-0.17305078  0.92217344  0.20026942 ...  0.4678069   0.19144897
  0.29315877]",-12.441091,0.9302611
/kaggle/input/van-gogh-paintings/Nuenen/Flying Fox.jpg,Nuenen,5,[0.23965001 0.43333617 0.6597532  ... 0.23025087 0.5679633  0.11398236],4.134288,-0.86218673
/kaggle/input/van-gogh-paintings/Nuenen/Basket of Potatoes.jpg,Nuenen,5,"[-0.15676913  1.604197    0.7461032  ... -0.09742679  0.38383433
  0.16284722]",6.295546,-5.720489
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Woman 9.jpg,Nuenen,5,"[ 0.01251766  0.11206856  0.7085999  ... -0.14768682 -0.03946313
 -0.06519406]",14.1080475,-0.55840474
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant Woman with White Cap 7.jpg,Nuenen,5,"[-0.0909434  -0.0453737   0.5317003  ... -0.1681836  -0.0730646
 -0.18093525]",14.76299,-0.9086093
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant Woman with White Cap.jpg,Nuenen,5,"[-0.02979312 -0.13110754  0.39090723 ... -0.18382116  0.06270099
 -0.11027718]",14.684159,-0.101029046
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Peasant Woman with Brownish Cap.jpg,Nuenen,5,"[ 0.09344557  0.16588755  0.66041434 ... -0.09479851  0.06023946
 -0.11768653]",14.881828,1.5722023
/kaggle/input/van-gogh-paintings/Nuenen/Head of a Man 2.jpg,Nuenen,5,"[ 0.05726854  0.50303596  0.55541795 ... -0.16422383 -0.1244318
 -0.09435372]",16.334663,2.373519
